Name,Link
D. Alaba,/player/197445/david-alaba/240038/
Real Madrid,/team/243/real-madrid/
D. Frattesi,/player/239807/davide-frattesi/240038/
Inter,/team/44/inter/
D. Hancko,/player/247103/david-hancko/240038/
Feyenoord,/team/246/feyenoord/
David Raya,/player/220901/david-raya-martin/240038/
Arsenal,/team/1/arsenal/
J. David,/player/243630/jonathan-david/240038/
LOSC Lille,/team/65/losc-lille/
D. Fofana,/player/260942/david-datro-fofana/240038/
Burnley,/team/1796/burnley/
D. Raum,/player/236703/david-raum/240038/
RB Leipzig,/team/112172/rb-leipzig/
David García,/player/225341/david-garcia-zubiria/240038/
Osasuna,/team/479/osasuna/
D. Martínez,/player/272317/david-martinez/240038/
Los Angeles FC,/team/112996/los-angeles-fc/
D. Ozoh,/player/273693/david-ozoh/240038/
Crystal Palace,/team/1799/crystal-palace/
D. Watson,/player/274934/david-watson/240038/
Kilmarnock,/team/82/kilmarnock/
D. Calabria,/player/228881/davide-calabria/240038/
Milan,/team/47/milan/
D. Veroli,/player/276443/davide-veroli/240038/
Catanzaro,/team/110908/catanzaro/
David Costa,/player/259139/david-pereira-da-costa/240038/
Lens,/team/64/lens/
David López,/player/201505/david-lopez-silva/240038/
Girona,/team/110062/girona/
David López,/player/278392/david-lopez-guijarro/240038/
Elche,/team/468/elche/
David Neres,/player/236632/david-neres-campos/240038/
Benfica,/team/234/benfica/
D. Ruiz,/player/275253/david-ruiz/240038/
Inter Miami,/team/112893/inter-miami/
David Soria,/player/223952/david-soria-solis/240038/
Getafe,/team/1860/getafe/
D. Zima,/player/255687/david-zima/240038/
Slavia Praha,/team/266/slavia-praha/
J. Arizala,/player/275647/juan-david-arizala/240038/
Independiente Medellín,/team/101103/independiente-medellin/
D. Jurásek,/player/267594/david-jurasek/240038/
TSG Hoffenheim,/team/10029/tsg-hoffenheim/
D. Ospina,/player/176550/david-ospina/240038/
Al Nassr,/team/112139/al-nassr/
D. Tebili,/player/277819/david-tebili/240038/
Bordeaux,/team/59/bordeaux/
D. Zappacosta,/player/216150/davide-zappacosta/240038/
Atalanta,/team/39/atalanta/
D. Wolfe,/player/262135/david-moller-wolfe/240038/
AZ Alkmaar,/team/1906/az-alkmaar/
J. Mosquera,/player/255894/juan-david-mosquera/240038/
Portland Timbers,/team/111140/portland-timbers/
David Torres,/player/270879/david-torres-ortiz/240038/
Real Valladolid,/team/462/real-valladolid/
D. Bartesaghi,/player/278237/davide-bartesaghi/240038/
Milan,/team/47/milan/
D. Affengruber,/player/261264/david-affengruber/240038/
Sturm Graz,/team/209/sturm-graz/
D. Čolina,/player/262579/david-colina/240038/
Vejle,/team/822/vejle/
D. Irimia,/player/276618/david-irimia/240038/
Dinamo Bucureşti,/team/100757/dinamo-bucuresti/
R. Martínez,/player/70572/ruben-david-martinez/240038/
Independiente,/team/110093/independiente/
D. Okereke,/player/233732/david-okereke/240038/
Torino,/team/54/torino/
D. Brooks,/player/220196/david-brooks/240038/
Southampton,/team/17/southampton/
D. Douděra,/player/269509/david-doudera/240038/
Slavia Praha,/team/266/slavia-praha/
D. Ewemade,/player/71514/david-ewemade/240038/
Austria Wien,/team/256/austria-wien/
D. Herold,/player/274093/david-herold/240038/
Karlsruher SC,/team/1832/karlsruher-sc/
David Seijalbo,/player/230453/david-jefferson-seijalbo-vaz/240038/
Atlético Mineiro,/team/1035/atletico-mineiro/
Antonaldinho,/player/230280/antonaldo-david-machado-chagas/240038/
Atlético Mineiro,/team/1035/atletico-mineiro/
D. Miculescu,/player/257803/david-miculescu/240038/
FCSB,/team/100761/fcsb/
Davidson,/player/237135/davidson-da-luz-pereira/240038/
İstanbul Başakşehir,/team/101014/istanbul-basaksehir/
D. Ayala,/player/254578/david-ayala/240038/
Portland Timbers,/team/111140/portland-timbers/
D. Brekalo,/player/264085/david-brekalo/240038/
Orlando City,/team/112606/orlando-city/
J. Cabal,/player/251870/juan-david-cabal/240038/
Hellas Verona,/team/206/hellas-verona/
D. Ezeh,/player/275184/david-ezeh/240038/
HJK,/team/100325/hjk/
D. Kruse,/player/258679/david-kruse/240038/
Valenciennes,/team/110456/valenciennes/
D. Pech,/player/272964/david-pech/240038/
Slavia Praha,/team/266/slavia-praha/
J. Romero,/player/256508/jose-david-romero/240038/
Talleres Córdoba,/team/112670/talleres-cordoba/
D. Silva,/player/214378/david-silva/240038/
Millonarios,/team/101105/millonarios/
D. Sotelo,/player/275429/david-sotelo/240038/
Newell's Old Boys,/team/110396/newells-old-boys/
M. Faraoni,/player/195272/marco-davide-faraoni/240038/
Fiorentina,/team/110374/fiorentina/
Joseda Álvarez,/player/271518/jose-david-alvarez-adsuar/240038/
Deportivo Alavés,/team/463/deportivo-alaves/
David Costas,/player/219848/david-costas-cordal/240038/
Real Oviedo,/team/110827/real-oviedo/
D. Djiama,/player/270843/david-djiama/240038/
APOEL,/team/100135/apoel/
D. Kasumu,/player/233938/david-kasumu/240038/
Huddersfield Town,/team/1939/huddersfield-town/
D. Nemeth,/player/252317/david-nemeth/240038/
St. Pauli,/team/110329/st-pauli/
D. Schnegg,/player/251547/david-schnegg/240038/
Sturm Graz,/team/209/sturm-graz/
D. Turnbull,/player/234111/david-turnbull/240038/
Cardiff City,/team/1961/cardiff-city/
D. Zalazar,/player/267625/david-zalazar/240038/
Gimnasia La Plata,/team/101084/gimnasia-la-plata/
